ArrayIndex,StringIndex,IpAddress,DestinationType,DestinationIndex,CollectionSegmentIndex,EnergySegmentIndex
3,35,10.0.3.97,Phoenix,3,43,61
3,36,10.0.3.98,Phoenix,3,43,61
3,37,10.0.3.102,Phoenix,3,43,62
3,38,10.0.3.103,Phoenix,3,43,62
3,39,10.0.3.107,Phoenix,3,43,63
3,40,10.0.3.108,Phoenix,3,43,63
4,1,10.0.4.12,Phoenix,4,64,65
4,2,10.0.4.13,Phoenix,4,64,65
4,3,10.0.4.17,Phoenix,4,64,66
4,4,10.0.4.18,Phoenix,4,64,66
4,5,10.0.4.22,Phoenix,4,64,67
4,6,10.0.4.23,Phoenix,4,64,67
4,7,10.0.4.27,Phoenix,4,64,68
4,8,10.0.4.28,Phoenix,4,64,68
4,9,10.0.4.32,Phoenix,4,64,69
4,10,10.0.4.33,Phoenix,4,64,69
4,11,10.0.4.37,Phoenix,4,64,70
4,12,10.0.4.38,Phoenix,4,64,70
4,13,10.0.4.42,Phoenix,4,64,71
4,14,10.0.4.43,Phoenix,4,64,71
4,15,10.0.4.47,Phoenix,4,64,72
4,16,10.0.4.48,Phoenix,4,64,72
4,17,10.0.4.52,Phoenix,4,64,73
4,18,10.0.4.53,Phoenix,4,64,73
4,19,10.0.4.57,Phoenix,4,64,74
4,20,10.0.4.58,Phoenix,4,64,74
4,21,10.0.4.62,Phoenix,4,64,75
4,22,10.0.4.63,Phoenix,4,64,75
4,23,10.0.4.67,Phoenix,4,64,76
4,24,10.0.4.68,Phoenix,4,64,76
4,25,10.0.4.72,Phoenix,4,64,77
4,26,10.0.4.73,Phoenix,4,64,77
4,27,10.0.4.77,Phoenix,4,64,78
4,28,10.0.4.78,Phoenix,4,64,78
4,29,10.0.4.82,Phoenix,4,64,79
4,30,10.0.4.83,Phoenix,4,64,79
4,31,10.0.4.87,Phoenix,4,64,80
4,32,10.0.4.88,Phoenix,4,64,80
4,33,10.0.4.92,Phoenix,4,64,81
4,34,10.0.4.93,Phoenix,4,64,81
4,35,10.0.4.97,Phoenix,4,64,82
4,36,10.0.4.98,Phoenix,4,64,82
4,37,10.0.4.102,Phoenix,4,64,83
4,38,10.0.4.103,Phoenix,4,64,83
4,39,10.0.4.107,Phoenix,4,64,84
4,40,10.0.4.108,Phoenix,4,64,84
5,1,10.0.5.12,Phoenix,5,85,86
5,2,10.0.5.13,Phoenix,5,85,86
5,3,10.0.5.17,Phoenix,5,85,87
5,4,10.0.5.18,Phoenix,5,85,87
5,5,10.0.5.22,Phoenix,5,85,88
5,6,10.0.5.23,Phoenix,5,85,88
5,7,10.0.5.27,Phoenix,5,85,89
5,8,10.0.5.28,Phoenix,5,85,89
5,9,10.0.5.32,Phoenix,5,85,90
5,10,10.0.5.33,Phoenix,5,85,90
5,11,10.0.5.37,Phoenix,5,85,91
5,12,10.0.5.38,Phoenix,5,85,91
5,13,10.0.5.42,Phoenix,5,85,92
5,14,10.0.5.43,Phoenix,5,85,92
5,15,10.0.5.47,Phoenix,5,85,93
5,16,10.0.5.48,Phoenix,5,85,93
5,17,10.0.5.52,Phoenix,5,85,94
5,18,10.0.5.53,Phoenix,5,85,94
5,19,10.0.5.57,Phoenix,5,85,95
5,20,10.0.5.58,Phoenix,5,85,95
5,21,10.0.5.62,Phoenix,5,85,96
5,22,10.0.5.63,Phoenix,5,85,96
5,23,10.0.5.67,Phoenix,5,85,97
5,24,10.0.5.68,Phoenix,5,85,97
5,25,10.0.5.72,Phoenix,5,85,98
5,26,10.0.5.73,Phoenix,5,85,98
